TaskID,PersonID,Day
1,1,1
2,1,7
3,2,7
4,3,7
5,4,7
6,6,7
7,4,8
8,5,7
9,1,8
10,2,8
11,2,1
12,6,8
13,3,8
14,1,9
15,2,9
16,5,8
17,6,9
18,1,10
19,3,9
20,6,10
21,2,10
22,1,11
23,4,1
24,3,1
25,4,9
26,5,9
27,3,10
28,4,10
29,2,11
30,5,10
31,3,11
32,4,11
33,6,11
34,1,12
35,4,12
36,5,1
37,5,11
38,6,1
39,1,2
40,6,12
41,1,13
42,2,12
43,2,13
44,6,2
45,3,12
46,6,13
47,1,14
48,3,13
49,2,14
50,5,12
51,4,13
52,5,13
53,6,14
54,3,14
55,1,15
56,2,15
57,6,15
58,1,16
59,6,16
60,3,15
61,2,16
62,4,14
63,5,14
64,3,16
65,4,15
66,1,17
67,2,17
68,3,17
69,6,17
70,1,18
71,2,2
72,5,15
73,2,18
74,6,18
75,1,3
76,3,18
77,1,19
78,4,16
79,4,2
80,2,19
81,5,16
82,6,19
83,3,2
84,1,20
85,2,20
86,3,19
87,5,2
88,2,3
89,3,20
90,6,20
91,1,21
92,2,21
93,3,21
94,4,17
95,3,3
96,6,21
97,4,18
98,1,22
99,2,22
100,5,17
101,6,22
102,1,23
103,4,19
104,5,18
105,4,20
106,5,19
107,4,21
108,4,22
109,5,20
110,4,3
111,5,21
112,2,23
113,4,23
114,6,23
115,3,22
116,6,3
117,3,23
118,4,4
119,1,24
120,1,4
121,5,22
122,2,4
123,5,23
124,6,4
125,2,24
126,5,3
127,4,24
128,3,24
129,5,24
130,1,5
131,6,24
132,1,25
133,6,25
134,2,25
135,3,25
136,4,25
137,1,26
138,2,26
139,5,25
140,6,26
141,4,5
142,6,5
143,3,26
144,4,26
145,2,5
146,3,4
147,1,27
148,2,27
149,3,27
150,6,27
151,3,5
152,1,28
153,5,26
154,4,27
155,5,27
156,6,28
157,1,29
158,2,28
159,3,28
160,5,4
161,6,29
162,2,29
163,4,28
164,1,30
165,3,29
166,5,28
167,2,30
168,6,30
169,4,29
170,5,5
171,1,6
172,1,31
173,3,30
174,5,29
175,2,31
176,2,6
177,4,30
178,6,31
179,3,31
180,1,32
181,4,31
182,5,30
183,2,32
184,3,32
185,6,32
186,1,33
187,2,33
188,3,33
189,5,31
190,4,32
191,6,33
192,1,34
193,5,32
194,2,34
195,4,33
196,5,33
197,6,34
198,4,34
199,3,34
200,1,35
201,2,35
202,3,35
203,6,35
204,1,36
205,4,35
206,2,36
207,6,36
208,4,36
209,1,37
210,3,36
211,5,34
212,6,37
213,2,37
214,1,38
215,6,38
216,2,38
217,3,37
218,3,38
219,5,35
220,1,39
221,2,39
222,5,36
223,6,39
224,3,39
225,4,37
226,1,40
227,2,40
228,5,37
229,3,40
230,6,40
231,1,41
232,4,38
233,2,41
234,6,41
235,4,39
236,1,42
237,2,42
238,4,40
239,6,42
240,3,6
241,3,41
242,5,38
243,5,39
244,1,43
245,4,6
246,5,40
247,2,43
248,4,41
249,3,42
250,3,43
251,6,43
252,1,44
253,5,41
254,2,44
255,6,44
256,4,42
257,3,44
258,4,43
259,1,45
260,5,42
261,2,45
262,5,43
263,4,44
264,3,45
265,5,44
266,6,45
267,1,46
268,4,45
269,4,46
270,6,46
271,4,47
272,5,45
273,2,46
274,5,6
275,3,46
276,5,46
277,6,6
278,1,47
279,2,47
280,6,47
281,3,47
282,1,48
283,2,48
284,3,48
285,4,48
286,6,48
287,1,49
288,2,49
289,5,47
290,5,48
291,3,49
292,6,49
293,1,50
294,6,50
295,4,49
296,4,50
297,5,49
298,2,50
299,3,50
300,5,50
